Time,DO,C measured [mg/l]
0.541666667,9.233048887,8.087714595
0.545138889,9.240954293,8.092714595
0.548611111,9.248569808,8.084381261
0.552083333,9.256156827,8.082714595
0.555555556,9.263716154,8.082714595
0.559027778,9.271179812,8.082714595
0.5625,9.278573091,8.086047928
0.565972222,9.286172177,8.082714595
0.569444444,9.293446825,8.086047928
0.572916667,9.300365603,8.084381261
0.576388889,9.307720504,8.064381261
0.579861111,9.314736182,8.067714595
0.583333333,9.322122144,8.069381261
0.586805556,9.32887326,8.072714595
0.590277778,9.335996992,8.067714595
0.59375,9.343645004,8.067714595
0.597222222,9.350246186,8.064381261
0.600694444,9.356974583,8.064381261
0.604166667,9.364439316,8.057714595
0.607638889,9.371457321,8.057714595
0.611111111,9.377702277,8.056047928
0.614583333,9.384706986,8.054381261
0.618055556,9.391056486,8.051047928
0.621527778,9.39776646,8.049381261
0.625,9.404328647,8.042714595
0.628472222,9.411000134,8.041047928
0.631944444,9.417597236,8.034381261
0.635416667,9.423821278,8.029381261
0.638888889,9.430486667,8.027714595
0.642361111,9.437311263,8.024381261
0.645833333,9.443800085,8.017714595
0.649305556,9.449993099,8.014381261
0.652777778,9.456606345,8.014381261
0.65625,9.462866565,8.011047928
0.659722222,9.469112887,8.009381261
0.663194444,9.474751364,8.009381261
0.666666667,9.481066131,8.002714595
0.670138889,9.487063032,7.999381261
0.673611111,9.493206424,7.999381261
0.677083333,9.499013011,8.004381261
0.680555556,9.504693726,8.002714595
0.684027778,9.510908049,8.014381261
0.6875,9.516604821,8.012714595
0.690972222,9.521929883,8.012714595
0.694444444,9.526899903,8.007714595
0.697916667,9.531625574,8.009381261
0.701388889,9.536018181,8.006047928
0.704861111,9.54084593,8.004381261
0.708333333,9.545409608,8.004381261
0.711805556,9.54992988,8.001047928
0.715277778,9.553406009,8.007714595
0.71875,9.557403199,8.004381261
0.722222222,9.561445007,8.004381261
0.725694444,9.564870315,8.006047928
0.729166667,9.568575997,8.007714595
0.732638889,9.57257476,8.007714595
0.736111111,9.613970971,8.011047928
0.739583333,9.658649528,8.012714595
0.743055556,9.703554636,8.019381261
0.746527778,9.767898201,8.019381261
0.75,9.811221487,8.021047928
0.753472222,9.85100475,8.019381261
0.756944444,9.897191581,8.022714595
0.760416667,9.932938406,8.026047928
0.763888889,9.948706598,8.032714595
0.767361111,9.963433231,8.029381261
0.770833333,9.976954604,8.032714595
0.774305556,9.989502082,8.036047928
0.777777778,10.00191245,8.036047928
0.78125,9.991447197,8.034381261
0.784722222,9.981208032,8.034381261
0.788194444,9.971104379,8.036047928
0.791666667,9.961024394,8.036047928
0.795138889,9.951157232,8.036047928
0.798611111,9.941411595,8.036047928
0.802083333,9.931959364,8.036047928
0.805555556,9.922905435,8.034381261
0.809027778,9.914026756,8.026047928
0.8125,9.905219643,8.034381261
0.815972222,9.896743809,8.037714595
0.819444444,9.888327833,8.041047928
0.822916667,9.879996255,8.044381261
0.826388889,9.87186255,8.049381261
0.829861111,9.863613516,8.047714595
0.833333333,9.855730304,8.049381261
0.836805556,9.847819009,8.052714595
0.840277778,9.839643208,8.049381261
0.84375,9.831726807,8.041047928
0.847222222,9.823894797,8.041047928
0.850694444,9.816240277,8.034381261
0.854166667,9.808490931,8.039381261
0.857638889,9.80079031,8.046047928
0.861111111,9.793163682,8.054381261
0.864583333,9.785703146,8.061047928
0.868055556,9.778049279,8.067714595
0.871527778,9.770725044,8.069381261
0.875,9.76323114,8.071047928
0.878472222,9.755893548,8.069381261
0.881944444,9.74839753,8.067714595
0.885416667,9.740827844,8.067714595
0.888888889,9.733391656,8.057714595
0.892361111,9.725942179,8.061047928
0.895833333,9.718461374,8.061047928
0.899305556,9.71080427,8.066047928
0.902777778,9.703290525,8.067714595
0.90625,9.695847327,8.066047928
0.909722222,9.688630292,8.071047928
0.913194444,9.681478218,8.079381261
0.916666667,9.674352849,8.084381261
0.920138889,9.667321811,8.089381261
0.923611111,9.660468903,8.092714595
0.927083333,9.653880781,8.099381261
0.930555556,9.647226424,8.106047928
0.934027778,9.640982266,8.107714595
0.9375,9.63464641,8.117714595
0.940972222,9.628474657,8.126047928
0.944444444,9.622535219,8.124381261
0.947916667,9.616689348,8.132714595
0.951388889,9.611156665,8.139381261
0.954861111,9.605507915,8.146047928
0.958333333,9.599775268,8.154381261
0.961805556,9.594427614,8.161047928
0.965277778,9.58905275,8.172714595
0.96875,9.583618411,8.177714595
0.972222222,9.57821891,8.189381261
0.975694444,9.572713519,8.192714595
0.979166667,9.567276189,8.202714595
0.982638889,9.561872873,8.207714595
0.986111111,9.55670867,8.224381261
0.989583333,9.551320847,8.237714595
0.993055556,9.546204665,8.251047928
0.996527778,9.541086035,8.261047928
1,9.535835843,8.274381261
1.003472222,9.530568478,8.289381261
1.006944444,9.525540835,8.302714595
1.010416667,9.52018571,8.327714595
1.013888889,9.514765391,8.346047928
1.017361111,9.509360635,8.364381261
1.020833333,9.503653692,8.381047928
1.024305556,9.498026186,8.396047928
1.027777778,9.492179991,8.409381261
1.03125,9.486166168,8.431047928
1.034722222,9.47997171,8.449381261
1.038194444,9.473658038,8.471047928
1.041666667,9.467193184,8.494381261
1.045138889,9.460402338,8.521047928
1.048611111,9.453249962,8.539381261
1.052083333,9.446071888,8.562714595
1.055555556,9.438525597,8.579381261
1.059027778,9.430915207,8.602714595
1.0625,9.423267074,8.614381261
1.065972222,9.415228643,8.629381261
1.069444444,9.406666934,8.647714595
1.072916667,9.398168362,8.666047928
1.076388889,9.38951703,8.672714595
1.079861111,9.380795981,8.687714595
1.083333333,9.3716305,8.711047928
1.086805556,9.362516933,8.729381261
1.090277778,9.353226939,8.754381261
1.09375,9.343824534,8.771047928
1.097222222,9.334280558,8.792714595
1.100694444,9.324407317,8.809381261
1.104166667,9.314460434,8.826047928
1.107638889,9.304362912,8.841047928
1.111111111,9.294022511,8.851047928
1.114583333,9.283349089,8.864381261
1.118055556,9.272798632,8.876047928
1.121527778,9.262393132,8.886047928
1.125,9.251706524,8.894381261
1.128472222,9.240811845,8.904381261
1.131944444,9.229862115,8.907714595
1.135416667,9.219076703,8.892714595
1.138888889,9.208068003,8.886047928
1.142361111,9.196824044,8.892714595
1.145833333,9.185522438,8.907714595
1.149305556,9.174209229,8.911047928
1.152777778,9.162694323,8.902714595
1.15625,9.151112052,8.911047928
1.159722222,9.139662241,8.926047928
1.163194444,9.127885107,8.927714595
1.166666667,9.11584562,8.939381261
1.170138889,9.103647841,8.942714595
1.173611111,9.091112073,8.949381261
1.177083333,9.0785891,8.954381261
1.180555556,9.065879895,8.961047928
1.184027778,9.053020867,8.966047928
1.1875,9.039915017,8.966047928
1.190972222,9.02673025,8.966047928
1.194444444,9.01340245,8.967714595
1.197916667,8.999950952,8.951047928
1.201388889,8.986495028,8.939381261
1.204861111,8.972833288,8.956047928
1.208333333,8.958991514,8.952714595
1.211805556,8.945282261,8.939381261
1.215277778,8.931457116,8.946047928
1.21875,8.917615895,8.919381261
1.222222222,8.903843804,8.917714595
1.225694444,8.890159352,8.951047928
1.229166667,8.876441398,8.922714595
1.232638889,8.862837356,8.931047928
1.236111111,8.849251969,8.927714595
1.239583333,8.835757643,8.932714595
1.243055556,8.821968609,8.919381261
1.246527778,8.808314913,8.917714595
1.25,8.794729831,8.894381261
1.253472222,8.781360594,8.886047928
1.256944444,8.76770449,8.887714595
1.260416667,8.754325983,8.887714595
1.263888889,8.740995304,8.879381261
1.267361111,8.72784029,8.876047928
1.270833333,8.714670023,8.876047928
1.274305556,8.701673443,8.844381261
1.277777778,8.68880541,8.841047928
1.28125,8.676224801,8.832714595
1.284722222,8.663651828,8.824381261
1.288194444,8.651166018,8.832714595
1.291666667,8.638949834,8.829381261
1.295138889,8.626749251,8.824381261
1.298611111,8.614615765,8.807714595
1.302083333,8.602682656,8.807714595
1.305555556,8.591189594,8.786047928
1.309027778,8.580066607,8.789381261
1.3125,8.569333028,8.764381261
1.315972222,8.558672053,8.756047928
1.319444444,8.548320228,8.759381261
1.322916667,8.537502038,8.762714595
1.326388889,8.527296555,8.741047928
1.329861111,8.517243163,8.722714595
1.333333333,8.507408046,8.721047928
1.336805556,8.49790255,8.707714595
1.340277778,8.488507216,8.694381261
1.34375,8.479689064,8.679381261
1.347222222,8.47073076,8.664381261
1.350694444,8.46208827,8.667714595
1.354166667,8.453375465,8.657714595
1.357638889,8.444885781,8.652714595
1.361111111,8.436513038,8.632714595
1.364583333,8.428254228,8.619381261
1.368055556,8.420188953,8.611047928
1.371527778,8.412028198,8.597714595
1.375,8.404440772,8.586047928
1.378472222,8.396963326,8.592714595
1.381944444,8.389728403,8.574381261
1.385416667,8.382214961,8.587714595
1.388888889,8.374935743,8.576047928
1.392361111,8.367934545,8.562714595
1.395833333,8.361537385,8.561047928
1.399305556,8.355017901,8.541047928
1.402777778,8.348392162,8.509381261
1.40625,8.342337508,8.497714595
1.409722222,8.336445048,8.481047928
1.413194444,8.330844028,8.457714595
1.416666667,8.325664597,8.452714595
1.420138889,8.320916775,8.446047928
1.423611111,8.316441476,8.432714595
1.427083333,8.312019239,8.419381261
1.430555556,8.308135812,8.406047928
1.434027778,8.305228041,8.392714595
1.4375,8.301985303,8.379381261
1.440972222,8.299129928,8.364381261
1.444444444,8.296414694,8.352714595
1.447916667,8.29409221,8.337714595
1.451388889,8.292370178,8.316047928
1.454861111,8.290424828,8.312714595
1.458333333,8.2890548,8.319381261
1.461805556,8.287895353,8.304381261
1.465277778,8.287158088,8.287714595
1.46875,8.286688529,8.289381261
1.472222222,8.286399569,8.284381261
1.475694444,8.286439473,8.272714595
1.479166667,8.286943432,8.256047928
1.482638889,8.287643502,8.244381261
1.486111111,8.288257373,8.242714595
1.489583333,8.289353814,8.224381261
1.493055556,8.290959851,8.212714595
1.496527778,8.292713361,8.207714595
1.5,8.294452337,8.211047928
1.503472222,8.296135647,8.201047928
1.506944444,8.298215876,8.192714595
1.510416667,8.300445389,8.179381261
1.513888889,8.302452861,8.171047928
1.517361111,8.30526063,8.169381261
1.520833333,8.308366493,8.162714595
1.524305556,8.311399992,8.161047928
1.527777778,8.314872819,8.161047928
1.53125,8.318295053,8.161047928
1.534722222,8.321856189,8.161047928
1.538194444,8.325378315,8.154381261
1.541666667,8.328876918,8.159381261
1.545138889,8.332635436,8.164381261
1.548611111,8.336350515,8.169381261
1.552083333,8.340305076,8.172714595
1.555555556,8.343831543,8.179381261
1.559027778,8.347902662,8.181047928
1.5625,8.351922279,8.184381261
1.565972222,8.355875147,8.186047928
1.569444444,8.360167404,8.186047928
1.572916667,8.364500103,8.187714595
1.576388889,8.368913654,8.191047928
1.579861111,8.373196632,8.186047928
1.583333333,8.377377409,8.191047928
1.586805556,8.381718059,8.197714595
1.590277778,8.38609185,8.201047928
1.59375,8.390524712,8.209381261
1.597222222,8.394973194,8.216047928
1.600694444,8.399571839,8.222714595
1.604166667,8.404046809,8.221047928
1.607638889,8.408681672,8.227714595
1.611111111,8.413558395,8.242714595
1.614583333,8.418427156,8.252714595
1.618055556,8.423520409,8.252714595
1.621527778,8.428615034,8.261047928
1.625,8.433958485,8.261047928
1.628472222,8.439160324,8.266047928
1.631944444,8.444182756,8.271047928
1.635416667,8.449323529,8.277714595
1.638888889,8.454311774,8.277714595
1.642361111,8.459254556,8.281047928
1.645833333,8.464431732,8.287714595
1.649305556,8.469708108,8.289381261
1.652777778,8.474946607,8.294381261
1.65625,8.480279822,8.297714595
1.659722222,8.485545441,8.302714595
1.663194444,8.490877013,8.309381261
1.666666667,8.496165731,8.317714595
1.670138889,8.501881,8.319381261
1.673611111,8.507040396,8.331047928
1.677083333,8.51216806,8.336047928
1.680555556,8.517106624,8.339381261
1.684027778,8.522309393,8.347714595
1.6875,8.52712839,8.357714595
1.690972222,8.532334974,8.366047928
1.694444444,8.537347464,8.371047928
1.697916667,8.542281656,8.381047928
1.701388889,8.547176056,8.384381261
1.704861111,8.55181687,8.391047928
1.708333333,8.556812577,8.396047928
1.711805556,8.561476535,8.394381261
1.715277778,8.566070578,8.399381261
1.71875,8.57040031,8.407714595
1.722222222,8.574621145,8.412714595
1.725694444,8.578909697,8.411047928
1.729166667,8.582794994,8.409381261
1.732638889,8.586244199,8.411047928
1.736111111,8.589684226,8.417714595
1.739583333,8.593014674,8.424381261
1.743055556,8.596454516,8.416047928
1.746527778,8.599647572,8.421047928
1.75,8.602395642,8.429381261
1.753472222,8.605455062,8.432714595
1.756944444,8.608281003,8.431047928
1.760416667,8.610923126,8.434381261
1.763888889,8.613539229,8.441047928
1.767361111,8.615946296,8.451047928
1.770833333,8.618346462,8.457714595
1.774305556,8.638707764,8.467714595
1.777777778,8.659085721,8.469381261
1.78125,8.681325492,8.476047928
1.784722222,8.703015665,8.476047928
1.788194444,8.724405739,8.482714595
1.791666667,8.753156093,8.482714595
1.795138889,8.778838277,8.489381261
1.798611111,8.804906374,8.489381261
1.802083333,8.829984637,8.497714595
1.805555556,8.854409722,8.504381261
1.809027778,8.878550382,8.497714595
1.8125,8.900959852,8.509381261
1.815972222,8.923407925,8.512714595
1.819444444,8.946735293,8.519381261
1.822916667,8.977561634,8.521047928
1.826388889,8.997594821,8.527714595
1.829861111,9.020158891,8.532714595
1.833333333,9.036758022,8.539381261
1.836805556,9.05358957,8.539381261
1.840277778,9.069614706,8.544381261
1.84375,9.085709941,8.547714595
1.847222222,9.101633006,8.546047928
1.850694444,9.117144623,8.542714595
1.854166667,9.132251574,8.549381261
1.857638889,9.146730487,8.557714595
1.861111111,9.161035814,8.559381261
1.864583333,9.175170336,8.559381261
1.868055556,9.189137391,8.559381261
1.871527778,9.202922079,8.562714595
1.875,9.216357106,8.569381261
1.878472222,9.229633457,8.579381261
1.881944444,9.242735451,8.591047928
1.885416667,9.255376524,8.609381261
1.888888889,9.26866313,8.619381261
1.892361111,9.282043787,8.617714595
1.895833333,9.294302071,8.622714595
1.899305556,9.306911911,8.629381261
1.902777778,9.318867691,8.634381261
1.90625,9.330995032,8.634381261
1.909722222,9.342983264,8.637714595
1.913194444,9.355081715,8.646047928
1.916666667,9.36652699,8.649381261
1.920138889,9.378141737,8.657714595
1.923611111,9.389624422,8.661047928
1.927083333,9.400616382,8.667714595
1.930555556,9.412378351,8.677714595
1.934027778,9.423369826,8.664381261
1.9375,9.43458642,8.679381261
1.940972222,9.43458642,8.686047928
1.944444444,9.43458642,8.689381261
1.947916667,9.43458642,8.694381261
1.951388889,9.43458642,8.709381261
1.954861111,9.43458642,8.722714595
1.958333333,9.43458642,8.732714595
1.961805556,9.43458642,8.731047928
1.965277778,9.43458642,8.741047928
1.96875,9.43458642,8.744381261
1.972222222,9.43458642,8.741047928
1.975694444,9.43458642,8.749381261
1.979166667,9.43458642,8.747714595
1.982638889,9.43458642,8.752714595
1.986111111,9.43458642,8.769381261
1.989583333,9.43458642,8.777714595
1.993055556,9.43458642,8.784381261
1.996527778,9.43458642,8.796047928
2,9.43458642,8.804381261
2.003472222,9.43458642,8.804381261
2.006944444,9.43458642,8.819381261
2.010416667,9.43458642,8.829381261
