sort_number,site,Genus_species,Family,growthform,height,Country,Site,lat,long,entered.by,alt,temp,isotherm,rain,LAI,NPP,hemisphere
32296,167,Xanthium_occidentale,Asteraceae,Herb,1.15,Japan,NA,38.217,140.833,Angela,38,12.4,2.5,1263,3.57,932,1
27405,141,Sarcopoterium_spinosum,Rosaceae,Shrub,0.45,Israel,Lehavim,31.356,34.835,Angela,379,18.9,4.7,293,1.26,305,1
4297,96,Bambusa_weberbaueri,Poaceae,Shrub,6,Peru,Los Amigos - Bamboo,12.566,-70.099,Angela,256,24.8,7.3,3269,4.26,1475,-1
30971,207,Triglochin_palustre,Juncaginaceae,Herb,0.15,USA,"Alaska, Yukon delta",61.25,-165.5,Angela,1,-1.2,2.3,657,2.15,204,1
4614,202,Betula_pendula,Betulaceae,Shrub,1.584893192,NA,NA,58.867,25,Angela,75,5.1,2.1,691,2.76,474,1
12621,4,Festuca_gracillima,Poaceae,Herb,0.14,Argentina,Rio Turbio - heath,51.575,-72.312,Angela,747,3.7,4.9,500,1.26,30,-1
12043,55,Eucalyptus_gillenii,Myrtaceae,Shrub,5,Australia,Alice - the gap,23.795,133.863,Angela,701,20.9,4.8,278,1.32,756,-1
32675,102,_8324,NA,NA,2.5,Peru,Manu,12.183,-70.917,Angela,350,24.8,7.6,2920,4.26,1461,-1
5226,25,Brunia_albifora,Bruniaceae,NA,3,South Africa,NA,34.317,19.917,Angela,227,16.4,5.3,501,2.14,825,-1
12046,43,Eucalyptus_sp2,Myrtaceae,Tree,20,Australia,Armidale - Goonoowigal,29.815,151.121,Angela,686,15.3,4.9,780,3.26,1272,-1
227,138,Acacia_berlandieri,Fabaceae - M,Shrub/Tree,6,Mexico,Linares - thornscrub,24.786,-99.515,Angela,354,22.6,4.8,803,2.26,1044,1
18174,22,Leucadendron_meridianum,Proteaceae,Shrub,1.7,South Africa,NA,34.583,19.917,Angela,71,16.7,5.1,484,2.14,825,-1
5464,195,Cakile_edentula,Brassicaceae,Herb,0.2,Canada,Nova Scotia,44.683,-63.117,Angela,4,6.4,2.8,1379,3.26,711,1
12089,24,Eucalyptus_socialis,Myrtaceae,Tree,6,Australia,Adelaide - Brookfield Mallee,34.32,139.503,Angela,95,16.2,5.1,272,2.14,773,-1
27860,88,Sclerolobium_paniculatum,Fabaceae - C,NA,3.8,Brazil,NA,15.933,-47.883,Angela,1100,20.8,7.2,1698,4.26,1180,-1
6529,143,Carnegiea_gigantea,Cactaceae,Shrub,8,USA,Tucson - Sonoran desert,32.31,-110.739,Angela,971,18.9,4.6,380,1.01,477,1
5079,92,Bridelia_micrantha,Phyllanthaceae,Tree,9,Zambia,Zambia - Mateshi,13.253,30.047,Angela,1388,19.1,5.5,1085,4.03,652,-1
28046,5,Senecio_filaginoides,Asteraceae,Herb,0.6,NA,Patagonia,45.417,-70,Angela,500,9.6,4.6,174,2.42,505,-1
32120,171,Vulpia_microstachys,Poaceae,Herb,0.239,NA,NA,38.867,-122.417,Angela,646,13.5,4.7,867,2.14,595,1
29331,48,Spirostachys_africanus,Euphorbiaceae,Shrub,4.5,South Africa,Zululand - Mbuzane,28.221,31.794,Angela,161,21,5.9,834,3.35,525,-1
28244,67,Sesbania_grandiflora,Fabaceae - P,Tree,12,Fiji,a-ngau,17.917,178.65,Laura,12,24.8,6.3,2835,4.51,1864,-1
12604,145,Ferocactus_cylindraceus,Cactaceae,Shrub,1.7,USA,Tucson,32.6,-111.233,Angela,690,20.5,4.6,354,1.26,349,1
16616,172,Ipomopsis_aggregata,Polemoniaceae,NA,0.81,USA,Colorado,38.867,-106.967,Angela,2698,1.3,4,539,2.24,339,1
22732,211,Picea_mariana,Pinaceae,Tree,13.5,USA,Alaska - Bonanza,64.769,-148.283,Angela,382,-4.3,2.2,296,2.51,363,1
8880,198,Corema_conradi,Ericaceae,Shrub,0.5,Canada,Quebec,47.533,-61.7,Angela,1,4.9,2,977,NA,NA,1
21232,149,Opuntia_acanthocarpa,Cactaceae,Shrub,0.72,USA,California,33.633,-116.4,Angela,900,16.7,4.7,290,1.01,492,1
18833,147,Ludwigia_leptocarpa,Onagraceae,Herb/Shrub,1.5,USA,South Carolina,33.217,-81.75,Angela,54,17.5,4.2,1165,3.35,1415,1
4331,42,Banksia_hookeriana,Proteaceae,Shrub,1.71,Australia,Western Australia,29.867,115.25,Angela,79,20.1,5.1,520,1.67,75,-1
2834,109,Andropogon_greenwayi,Poaceae,Herb,0.3,Tanzania,"Serengeti, Naabi hill",3.217,35.483,Angela,1550,13.7,6.5,1019,3.48,1209,-1
10460,12,Dicksonia_antarctica,Dicksoniaceae,Shrub,3,Australia,"Mt Field, Tasmania",42.679,146.669,Angela,704,7.9,4.8,1156,2.96,643,-1
9565,101,Cupaniopsis_anacardioides,Sapindaceae,Tree,8,Australia,Darwin - East point,12.406,130.82,Angela,11,27.5,6.2,1663,4.07,956,-1
4332,41,Banksia_tricuspis,Proteaceae,Shrub,2.9,Australia,NA,30.167,115.233,Angela,274,18.1,5.1,597,1.67,75,-1
12097,16,Eucalyptus_sp5,Myrtaceae,Tree,13,Australia,Bunyip - Melbourne,38.01,145.62,Angela,164,13.6,4.8,1016,2.71,793,-1
4954,176,Bouteloua_gracilis,Poaceae,Herb,0.2,USA,Colorado,40.817,-107.783,Angela,2177,4.3,3.9,374,0.51,261,1
25823,174,Ratibida_columnifera,Asteraceae,Herb,1,USA,Kansas,39.083,-96.583,Angela,407,12,3,872,4.14,1414,1
11205,112,Elateriospermum_tapos,Euphorbiaceae,Tree,39.6,Malaysia,NA,2.983,102.3,Angela,116,26.5,8.5,1974,4.51,2270,1
26532,205,Rubus_chamaemorus,Rosaceae,Shrub,0.158,Finland,NA,60,27,Angela,75,4.5,2.2,597,2.82,502,1
21730,58,Paraneurachne_muelleri,Poaceae,Herb,0.5,Australia,Kunoth Paddock - Alice Springs,23.533,133.748,Angela,713,20.4,4.8,310,1.01,605,-1
150,57,Acacia_aneura,Fabaceae - M,Shrub/Tree,9,Australia,Kunoth Paddock - Alice Springs,23.533,133.748,Angela,713,20.4,4.8,310,1.01,605,-1
16438,179,Impatiens_capensis,Balsaminaceae,Herb,3,Rhode Island,USA,41.667,-71.25,Angela,44,10.1,2.9,1176,3.39,1044,1
26983,208,Salix_lapponum,Salicaceae,Shrub,1.05,Norway,NA,61.6,7.5,Angela,1520,-2.1,2.8,1418,1.01,45,1
12619,7,Festuca_novae-zealandiae,Poaceae,Herb,0.5,New Zealand,NA,43.033,171.75,Angela,587,9.1,4.6,2421,1.46,41,-1
3358,135,Ardisia_tenera,Myrsinaceae,Tree,11,China,NA,21.96,101.2,Angela,749,21,5.3,1476,4.04,1435,1
12541,199,Fagus_sylvatica,Fagaceae,Tree,39,Germany,Barvaria,49.867,10.45,Angela,415,8,3.2,692,3.57,827,1
17783,150,Larrea_tridentata,Zygophyllaceae,Shrub,1.94,NA,NA,34.55,-116.883,Angela,920,16.6,4.5,212,1.26,279,1
13427,204,Gentiana_campestris,Gentianaceae,Herb,12.4,Sweden,Sodermanland,59.333,16.85,Angela,33,6.2,2.5,564,3.07,615,1
7867,6,Chionochloa_pallens,Poaceae,Herb,1.5,New Zealand,Canterbury,43.533,171.55,Angela,1070,7.8,4.5,1211,1.26,30,-1
12303,177,Euphorbia_characias,Euphorbiaceae,NA,1,Spain,NA,41.417,2.1,Angela,314,15.3,3.1,656,2.26,826,1
15377,110,Heliconia_acuminata,Heliconiaceae,Herb,0.75,Brazil,NA,2.5,-60,Angela,111,27,8.3,2319,4.26,1692,-1
17329,170,Juniperus_virginiana,Cupressaceae,Shrub,4,USA,NA,38.75,-96.583,Angela,407,12.1,3,859,2.76,1127,1
11188,76,Elaeocarpus_pyriformis,Elaeocarpaceae,Tree,15,Fiji,abngau,17.472,178.847,Laura,41,25,6.4,2616,4.5,1800,-1
2357,91,Alloteropsis_semialata,Poaceae,Herb,0.55,Australia,Cape York,14.967,143.583,Angela,85,26,6.2,1117,4.03,811,-1
30141,68,Tapeinosperma_grande,Myrsinaceae,Shrub/Tree,6,Fiji,abkngau,17.846,178.706,Laura,8,24.9,6.4,2731,4.51,1864,-1
21230,32,Opuntia_aurantiaca,Cactaceae,Shrub,0.5,NA,NA,33.2,26.367,Angela,614,16.7,5.9,630,1.76,933,-1
29075,210,Sorbus_aucuparia,Rosaceae,Tree,15,Sweeden,Umea,63.817,20.267,Angela,21,2.7,2.4,572,2.79,414,1
13426,197,Gentiana_cruciata,Gentianaceae,Herb,0.246,Switzerland,NA,46.5,7,Angela,1608,3.5,3,1555,3.26,690,1
